Sample	Reference virus	Genus	Description	%Identity
ET89	JQ902104	badnavirus	Sweet potato badnavirus C	70.79
ET9	EU130910	badnavirus	Citrus yellow mosaic virus	77.59
ET9	FJ560943	badnavirus	Sweet potato badnavirus A	80.15
ET9	KF836892	badnavirus	Sweet potato badnavirus B	89.67
ET9	JQ902104	badnavirus	Sweet potato badnavirus C	80.54
ET90	FJ560943	badnavirus	Sweet potato badnavirus A	80.74
ET90	KF836892	badnavirus	Sweet potato badnavirus B	89.87
ET90	JQ902104	badnavirus	Sweet potato badnavirus C	81.71
ET90	AY523547	potyvirus	Sweet potato feathery mottle virus	96.48
ET90	JN613805	potyvirus	Sweet potato virus G	98.92
ET94	FJ560943	badnavirus	Sweet potato badnavirus A	81.23
ET94	KF836892	badnavirus	Sweet potato badnavirus B	85.86
ET94	JQ902104	badnavirus	Sweet potato badnavirus C	85.21
ET94	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
ET95	FJ560943	badnavirus	Sweet potato badnavirus A	78.83
ET95	KF836892	badnavirus	Sweet potato badnavirus B	86.61
ET95	JQ902104	badnavirus	Sweet potato badnavirus C	82.13
ET95	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.45
ET95	AY523547	potyvirus	Sweet potato feathery mottle virus	96.9
ET95	JN613805	potyvirus	Sweet potato virus G	98.47
ET96	FJ560943	badnavirus	Sweet potato badnavirus A	80.64
ET96	KF836892	badnavirus	Sweet potato badnavirus B	90.87
ET96	JQ902104	badnavirus	Sweet potato badnavirus C	82.56
ET96	FJ155666	potyvirus	Sweet potato feathery mottle virus	96.92
ET96	JN613805	potyvirus	Sweet potato virus G	98.74
ET97	FJ560943	badnavirus	Sweet potato badnavirus A	79.41
ET97	KF836892	badnavirus	Sweet potato badnavirus B	89.24
ET97	JQ902104	badnavirus	Sweet potato badnavirus C	83.26
ET99	FJ560943	badnavirus	Sweet potato badnavirus A	75.52
ET99	KF836892	badnavirus	Sweet potato badnavirus B	88.01
ET99	JQ902104	badnavirus	Sweet potato badnavirus C	85.93
ET99	AY523547	potyvirus	Sweet potato feathery mottle virus	97.19
ET99	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
ET99	JN613805	potyvirus	Sweet potato virus G	98.75
GH-S004a	FJ560943	badnavirus	Sweet potato badnavirus A	89.65
GH-S004a	FJ560944	badnavirus	Sweet potato badnavirus B	91.4
GH-S004a	EU375897	carlavirus	Sweet potato chlorotic fleck virus	98.08
GH-S004a	FJ807785	crinivirus	Sweet potato chlorotic stunt virus	99.01
GH-S004a	AJ010705	potyvirus	Sweet potato feathery mottle virus	92.86
GH-S006a	AJ968501	badnavirus	Banana streak virus	81.25
GH-S006a	FJ560944	badnavirus	Sweet potato badnavirus B	95.51
GH-S006a	EU375897	carlavirus	Sweet potato chlorotic fleck virus	97.6
GH-S006a	D86371	potyvirus	Sweet potato feathery mottle virus	90.22
GH-S007a	FJ560944	badnavirus	Sweet potato badnavirus B	97.16
GH-S007a	EU375897	carlavirus	Sweet potato chlorotic fleck virus	97.37
GH-S007a	FJ795750	potyvirus	Sweet potato feathery mottle virus	90.65
GH-S007a	FJ969835	begomovirus	Sweet potato leaf curl virus	96.69
GH-S007a	JX489166	potyvirus	Sweet potato virus C	92.64
GH-S008a	FJ560944	badnavirus	Sweet potato badnavirus B	96.77
GH-S008a	EU375897	carlavirus	Sweet potato chlorotic fleck virus	97.6
GH-S008a	S43451	potyvirus	Sweet potato feathery mottle virus	95.96
GH-S008a	FJ969835	begomovirus	Sweet potato leaf curl virus	96.47
GH-S008a	JX489166	potyvirus	Sweet potato virus C	97.5
GH-S009a	AJ132548	begomovirus	Ipomoea yellow vein virus	92.5
GH-S009a	DQ644561	begomovirus	Merremia leaf curl virus	91.88
GH-S009a	FJ560943	badnavirus	Sweet potato badnavirus A	95.81
GH-S009a	FJ560944	badnavirus	Sweet potato badnavirus B	97.14
GH-S009a	EU375897	carlavirus	Sweet potato chlorotic fleck virus	97.95
GH-S009a	KC771328	potyvirus	Sweet potato feathery mottle virus	95.76
GH-S009a	HQ333143	begomovirus	Sweet potato golden vein associated virus	93.81
GH-S009a	DQ512731	begomovirus	Sweet potato leaf curl virus	94.64
GH-S009a	FJ969831	begomovirus	Sweet potato mosaic virus	91.53
GH-S009a	JX489166	potyvirus	Sweet potato virus C	91.98
GH-S011b	FJ560943	badnavirus	Sweet potato badnavirus A	84.62
GH-S011b	FJ560944	badnavirus	Sweet potato badnavirus B	88.26
GH-S011b	EU375897	carlavirus	Sweet potato chlorotic fleck virus	97.12
GH-S011b	FJ807785	crinivirus	Sweet potato chlorotic stunt virus	99.04
GH-S011b	EF155993	potyvirus	Sweet potato feathery mottle virus	90.57
GH-S012a	FJ560944	badnavirus	Sweet potato badnavirus B	95.44
GH-S012a	JQ902104	badnavirus	Sweet potato badnavirus C	95.57
GH-S012a	D86371	potyvirus	Sweet potato feathery mottle virus	90.32
GH-S012a	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
GH-S013a	FJ560943	badnavirus	Sweet potato badnavirus A	91.1
GH-S013a	KF836892	badnavirus	Sweet potato badnavirus B	95.29
GH-S013a	EU375897	carlavirus	Sweet potato chlorotic fleck virus	98.04
GH-S013a	FJ807785	crinivirus	Sweet potato chlorotic stunt virus	98.93
GH-S013a	S43451	potyvirus	Sweet potato feathery mottle virus	90.73
GH-S013a	GU207957	potyvirus	Sweet potato virus C	77.43
GH-S013a	JN613805	potyvirus	Sweet potato virus G	73.83
GH-S014a	KC777390	potyvirus	Cowpea aphid-borne mosaic virus	76.27
GH-S014a	D86371	potyvirus	Sweet potato feathery mottle virus	88.39
GH-S014a	KF386015	potyvirus	Sweet potato virus C	79.71
GH-S015a	FJ560944	badnavirus	Sweet potato badnavirus B	96.87
GH-S015a	EU375897	carlavirus	Sweet potato chlorotic fleck virus	96.04
GH-S015a	KC771328	potyvirus	Sweet potato feathery mottle virus	94.54
GH-S015a	JX489166	potyvirus	Sweet potato virus C	78.22
GH-S019a	FJ807784	crinivirus	Sweet potato chlorotic stunt virus	99.13
GH-S019a	S43451	potyvirus	Sweet potato feathery mottle virus	93.14
GH-S019a	FJ969833	begomovirus	Sweet potato leaf curl virus	96.35
GH-S019a	KF386015	potyvirus	Sweet potato virus C	77.02
GH-S023a	KF386729	badnavirus	Banana streak virus	81.82
GH-S023a	AM503386	badnavirus	Dioscorea bacilliform virus	78.06
GH-S023a	HM447643	badnavirus	Musa accuminata endogenous badnavirus	78.52
GH-S023a	FJ439788	badnavirus	Sugarcane bacilliform virus	81.2
GH-S023a	FJ560943	badnavirus	Sweet potato badnavirus A	92.98
GH-S023a	FJ560944	badnavirus	Sweet potato badnavirus B	89.02
GH-S023a	JQ902104	badnavirus	Sweet potato badnavirus C	82.03
GH-S023a	AB439206	potyvirus	Sweet potato feathery mottle virus	91.16
GH-S023a	HQ694979	solendovirus	Sweet potato vein clearing virus	92.24
GH-S025a	FJ560943	badnavirus	Sweet potato badnavirus A	76.83
GH-S025a	KF836892	badnavirus	Sweet potato badnavirus B	84.67
GH-S025a	JQ902104	badnavirus	Sweet potato badnavirus C	83.86
GH-S025a	FJ807785	crinivirus	Sweet potato chlorotic stunt virus	98.96
GH-S025a	AM050892	potyvirus	Sweet potato feathery mottle virus	94.61
GH-S025a	AF326775	begomovirus	Sweet potato leaf curl virus	97.35
GH-S026a	FJ560943	badnavirus	Sweet potato badnavirus A	77.78
GH-S026a	KF836892	badnavirus	Sweet potato badnavirus B	87.35
GH-S026a	JQ902103	badnavirus	Sweet potato badnavirus C	93.62
GH-S026a	FJ807785	crinivirus	Sweet potato chlorotic stunt virus	99.02
GH-S026a	S43451	potyvirus	Sweet potato feathery mottle virus	93.26
GH-S026a	GU207957	potyvirus	Sweet potato virus C	77.59
GH-S026a	JN613805	potyvirus	Sweet potato virus G	74.05
GH-S027a	JQ902104	badnavirus	Sweet potato badnavirus C	82.22
GH-S027a	AY459591	potyvirus	Sweet potato feathery mottle virus	90.03
GH-S027a	GU207957	potyvirus	Sweet potato virus C	82.29
GH-S030a	EF155974	potyvirus	Sweet potato feathery mottle virus	90.73
GH-S030a	GU207957	potyvirus	Sweet potato virus C	80.41
GH-S031a	FJ560943	badnavirus	Sweet potato badnavirus A	91.42
GH-S031a	FJ560944	badnavirus	Sweet potato badnavirus B	87.89
GH-S031a	JQ902104	badnavirus	Sweet potato badnavirus C	81.13
GH-S031a	D86371	potyvirus	Sweet potato feathery mottle virus	87.93
GH-S031a	HQ333143	begomovirus	Sweet potato golden vein associated virus	94.62
GH-S031a	FJ969835	begomovirus	Sweet potato leaf curl virus	94.35
GH-S032a	FJ439797	badnavirus	Sugarcane bacilliform virus	82.5
GH-S032a	FJ560943	badnavirus	Sweet potato badnavirus A	91.87
GH-S032a	FJ560944	badnavirus	Sweet potato badnavirus B	88.13
GH-S032a	JQ902104	badnavirus	Sweet potato badnavirus C	83.37
GH-S032a	AJ010705	potyvirus	Sweet potato feathery mottle virus	83.91
GH-S032a	GU207957	potyvirus	Sweet potato virus C	76.04
GH-S034a	FJ560943	badnavirus	Sweet potato badnavirus A	78.47
GH-S034a	KF836892	badnavirus	Sweet potato badnavirus B	85.75
GH-S034a	JQ902104	badnavirus	Sweet potato badnavirus C	83.15
GH-S034a	FJ807785	crinivirus	Sweet potato chlorotic stunt virus	99.02
GH-S034a	S43451	potyvirus	Sweet potato feathery mottle virus	90.94
GH-S034a	GU207957	potyvirus	Sweet potato virus C	75.91
GH-S034a	KF790759	potyvirus	Sweet potato virus G	76.96
GH-S035a	KF386729	badnavirus	Banana streak virus	78.53
GH-S035a	FJ439797	badnavirus	Sugarcane bacilliform virus	81.44
GH-S035a	FJ560943	badnavirus	Sweet potato badnavirus A	91.8
GH-S035a	FJ560944	badnavirus	Sweet potato badnavirus B	88.15
GH-S035a	JQ902104	badnavirus	Sweet potato badnavirus C	79.64
GH-S035a	GQ268230	begomovirus	Sweet potato begomovirus	96.42
GH-S035a	S43451	potyvirus	Sweet potato feathery mottle virus	97.78
GH-S035a	KJ013557	begomovirus	Sweet potato leaf curl virus	94.54
GH-S035a	KF386015	potyvirus	Sweet potato virus C	79.29
GH-S036a	EU839578	begomovirus	Ipomoea yellow vein virus	92.09
GH-S036a	DQ644561	begomovirus	Merremia leaf curl virus	94.01
GH-S036a	FJ560943	badnavirus	Sweet potato badnavirus A	91.37
GH-S036a	FJ560944	badnavirus	Sweet potato badnavirus B	88.58
GH-S036a	JQ902104	badnavirus	Sweet potato badnavirus C	80.19
GH-S036a	EU809484	potyvirus	Sweet potato feathery mottle virus	91.66
GH-S036a	AB433786	begomovirus	Sweet potato leaf curl virus	95.55
GH-S039a	FJ560943	badnavirus	Sweet potato badnavirus A	77.22
GH-S039a	KF836892	badnavirus	Sweet potato badnavirus B	89
GH-S039a	JQ902104	badnavirus	Sweet potato badnavirus C	84.19
GH-S039a	FJ807785	crinivirus	Sweet potato chlorotic stunt virus	98.41
GH-S039a	EF155993	potyvirus	Sweet potato feathery mottle virus	92.36
GH-S040b	KF386729	badnavirus	Banana streak virus	80.93
GH-S040b	AM503363	badnavirus	Dioscorea bacilliform virus	80.77
GH-S040b	EU377671	badnavirus	Pineapple bacilliform comosus virus	76.78
GH-S040b	FJ439789	badnavirus	Sugarcane bacilliform virus	80.43
GH-S040b	FJ560943	badnavirus	Sweet potato badnavirus A	91.21
GH-S040b	FJ560944	badnavirus	Sweet potato badnavirus B	87.7
GH-S040b	JQ902104	badnavirus	Sweet potato badnavirus C	81.99
GH-S040b	FJ807785	crinivirus	Sweet potato chlorotic stunt virus	98.77
GH-S040b	D86371	potyvirus	Sweet potato feathery mottle virus	89.26
GH-S040b	FN806776	begomovirus	Sweet potato leaf curl virus	93.06
GH-S041a	FJ560943	badnavirus	Sweet potato badnavirus A	97.97
GH-S041a	FJ560944	badnavirus	Sweet potato badnavirus B	97.08
GH-S041a	JQ902104	badnavirus	Sweet potato badnavirus C	92.06
GH-S041a	FJ969835	begomovirus	Sweet potato leaf curl virus	94.48
GH-S043a	FJ560943	badnavirus	Sweet potato badnavirus A	93.19
GH-S043a	FJ560944	badnavirus	Sweet potato badnavirus B	88.97
GH-S043a	JQ902103	badnavirus	Sweet potato badnavirus C	97.56
GH-S043a	FJ155666	potyvirus	Sweet potato feathery mottle virus	92.41
GH-S043a	FJ969835	begomovirus	Sweet potato leaf curl virus	94.69
GH-S102	AJ132548	begomovirus	Ipomoea yellow vein virus	92.32
GH-S102	DQ644561	begomovirus	Merremia leaf curl virus	91.85
GH-S102	KF836892	badnavirus	Sweet potato badnavirus B	99.57
GH-S102	AY523547	potyvirus	Sweet potato feathery mottle virus	97.58
GH-S102	HQ333143	begomovirus	Sweet potato golden vein associated virus	92.41
GH-S102	JN657686	begomovirus	Sweet potato leaf curl virus	94.69
GH-S102	FJ969831	begomovirus	Sweet potato mosaic virus	91.45
GH-S102	JX489166	potyvirus	Sweet potato virus C	97.7
GH-S103	FJ439784	badnavirus	Sugarcane bacilliform virus	80.65
GH-S103	FJ560943	badnavirus	Sweet potato badnavirus A	81.92
GH-S103	FJ560944	badnavirus	Sweet potato badnavirus B	93.99
GH-S103	JQ902104	badnavirus	Sweet potato badnavirus C	77.11
GH-S103	FJ807785	crinivirus	Sweet potato chlorotic stunt virus	99.06
GH-S103	AY523538	potyvirus	Sweet potato feathery mottle virus	90.3
GH-S103	KF386015	potyvirus	Sweet potato virus C	79.42
GH-S103	KF790759	potyvirus	Sweet potato virus G	73.46
GH-S104	FJ560943	badnavirus	Sweet potato badnavirus A	83.2
GH-S104	KF836892	badnavirus	Sweet potato badnavirus B	88.04
GH-S104	JQ902104	badnavirus	Sweet potato badnavirus C	77.08
GH-S104	KC771328	potyvirus	Sweet potato feathery mottle virus	95.31
GH-S104	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
GH-S105	FJ560943	badnavirus	Sweet potato badnavirus A	85.62
GH-S105	FJ560944	badnavirus	Sweet potato badnavirus B	88.21
GH-S105	JQ902104	badnavirus	Sweet potato badnavirus C	86.42
GH-S105	FJ807785	crinivirus	Sweet potato chlorotic stunt virus	98.99
GH-S105	AY523547	potyvirus	Sweet potato feathery mottle virus	95.21
GH-S105	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
GH-S110	FJ560943	badnavirus	Sweet potato badnavirus A	93.53
GH-S110	KF836892	badnavirus	Sweet potato badnavirus B	94.24
GH-S110	JQ902104	badnavirus	Sweet potato badnavirus C	89.15
GH-S110	AY523547	potyvirus	Sweet potato feathery mottle virus	97.52
GH-S110	FJ969835	begomovirus	Sweet potato leaf curl virus	96.9
GH-S110	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
GH-S110	KF386015	potyvirus	Sweet potato virus C	91.83
GH-S110	JN613805	potyvirus	Sweet potato virus G	98.24
GH-S111	AJ132548	begomovirus	Ipomoea yellow vein virus	92.5
GH-S111	DQ644561	begomovirus	Merremia leaf curl virus	92.04
GH-S111	FJ560944	badnavirus	Sweet potato badnavirus B	97.17
GH-S111	EU375897	carlavirus	Sweet potato chlorotic fleck virus	97.23
GH-S111	FJ795750	potyvirus	Sweet potato feathery mottle virus	88.75
GH-S111	HQ333143	begomovirus	Sweet potato golden vein associated virus	93.15
GH-S111	JN657687	begomovirus	Sweet potato leaf curl virus	94.27
GH-S111	FJ969831	begomovirus	Sweet potato mosaic virus	92.63
GH-S111	JX489166	potyvirus	Sweet potato virus C	94.12
GH-S113	EU839576	begomovirus	Ipomoea yellow vein virus	91.73
GH-S113	DQ644561	begomovirus	Merremia leaf curl virus	93.21
GH-S113	JQ902104	badnavirus	Sweet potato badnavirus C	95.83
GH-S113	GQ268231	begomovirus	Sweet potato begomovirus	94.02
GH-S113	HQ333143	begomovirus	Sweet potato golden vein associated virus	94.69
GH-S113	KF769447	begomovirus	Sweet potato leaf curl virus	94.5
GH-S113	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
GH-S116	JQ902104	badnavirus	Sweet potato badnavirus C	82.29
GH-S116	AB433786	begomovirus	Sweet potato leaf curl virus	95.67
GH-S119	AJ132548	begomovirus	Ipomoea yellow vein virus	93.43
GH-S119	DQ644561	begomovirus	Merremia leaf curl virus	93.02
GH-S119	JQ902104	badnavirus	Sweet potato badnavirus C	94.61
GH-S119	HQ333143	begomovirus	Sweet potato golden vein associated virus	93.69
GH-S119	AB433786	begomovirus	Sweet potato leaf curl virus	94.27
GH-S119	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
GH-S122	EU839578	begomovirus	Ipomoea yellow vein virus	91.74
GH-S122	DQ644561	begomovirus	Merremia leaf curl virus	92.41
GH-S122	JQ902104	badnavirus	Sweet potato badnavirus C	94.74
GH-S122	GQ268230	begomovirus	Sweet potato begomovirus	95.93
GH-S122	HQ333143	begomovirus	Sweet potato golden vein associated virus	92.62
GH-S122	FJ969833	begomovirus	Sweet potato leaf curl virus	93.79
GH-S122	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
GH-S123	EU839576	begomovirus	Ipomoea yellow vein virus	92.32
GH-S123	DQ644561	begomovirus	Merremia leaf curl virus	92.57
GH-S123	JQ902104	badnavirus	Sweet potato badnavirus C	95.51
GH-S123	HQ333143	begomovirus	Sweet potato golden vein associated virus	94.02
GH-S123	KJ013576	begomovirus	Sweet potato leaf curl virus	94.92
GH-S123	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
GH-S124	DQ644561	begomovirus	Merremia leaf curl virus	94.24
GH-S124	FJ560943	badnavirus	Sweet potato badnavirus A	85.53
GH-S124	KF836892	badnavirus	Sweet potato badnavirus B	92.28
GH-S124	JQ902104	badnavirus	Sweet potato badnavirus C	99.33
GH-S124	HQ333143	begomovirus	Sweet potato golden vein associated virus	95.2
GH-S124	AB433786	begomovirus	Sweet potato leaf curl virus	95.81
GH-S126	EU839578	begomovirus	Ipomoea yellow vein virus	91.08
GH-S126	DQ644561	begomovirus	Merremia leaf curl virus	92.33
GH-S126	FJ560944	badnavirus	Sweet potato badnavirus B	97.28
GH-S126	EU375897	carlavirus	Sweet potato chlorotic fleck virus	97.7
GH-S126	KC771328	potyvirus	Sweet potato feathery mottle virus	94.52
GH-S126	HQ333143	begomovirus	Sweet potato golden vein associated virus	93.3
GH-S126	DQ512731	begomovirus	Sweet potato leaf curl virus	94.62
GH-S126	FJ969831	begomovirus	Sweet potato mosaic virus	92.28
GH-S126	KF386015	potyvirus	Sweet potato virus C	76.97
GH-S126	JN613805	potyvirus	Sweet potato virus G	73.81
GH-S130	AJ132548	begomovirus	Ipomoea yellow vein virus	94.93
GH-S130	DQ644561	begomovirus	Merremia leaf curl virus	93.65
GH-S130	JQ902104	badnavirus	Sweet potato badnavirus C	94.69
GH-S130	HQ333143	begomovirus	Sweet potato golden vein associated virus	95.21
GH-S130	JN657686	begomovirus	Sweet potato leaf curl virus	95.4
GH-S130	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
GH-S143a	FJ560943	badnavirus	Sweet potato badnavirus A	95.92
GH-S143a	FJ560944	badnavirus	Sweet potato badnavirus B	94.05
GH-S143a	JQ902104	badnavirus	Sweet potato badnavirus C	90.95
GH-S143a	FJ807785	crinivirus	Sweet potato chlorotic stunt virus	98.82
GH-S143a	AY523547	potyvirus	Sweet potato feathery mottle virus	95.54
GH-S143a	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
GH-S143a	KF386015	potyvirus	Sweet potato virus C	93.9
GH-S149a	AJ132548	begomovirus	Ipomoea yellow vein virus	91.3
GH-S149a	FJ560943	badnavirus	Sweet potato badnavirus A	84.12
GH-S149a	KF836892	badnavirus	Sweet potato badnavirus B	89.04
GH-S149a	JQ902104	badnavirus	Sweet potato badnavirus C	87.03
GH-S149a	AY523547	potyvirus	Sweet potato feathery mottle virus	95.79
GH-S149a	FJ969835	begomovirus	Sweet potato leaf curl virus	98.01
GH-S149a	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
GH-S149a	KF386015	potyvirus	Sweet potato virus C	93.01
GH-S149a	JN613805	potyvirus	Sweet potato virus G	96.94
GH-S152b	EU839578	begomovirus	Ipomoea yellow vein virus	92.86
GH-S152b	DQ644561	begomovirus	Merremia leaf curl virus	92.84
GH-S152b	FJ560943	badnavirus	Sweet potato badnavirus A	88.47
GH-S152b	FJ560944	badnavirus	Sweet potato badnavirus B	89.94
GH-S152b	JQ902104	badnavirus	Sweet potato badnavirus C	94.62
GH-S152b	GQ268231	begomovirus	Sweet potato begomovirus	94.06
GH-S152b	FJ807784	crinivirus	Sweet potato chlorotic stunt virus	99
GH-S152b	EF155993	potyvirus	Sweet potato feathery mottle virus	90.38
GH-S152b	HQ333143	begomovirus	Sweet potato golden vein associated virus	94.94
GH-S152b	JF736657	begomovirus	Sweet potato leaf curl virus	95.48
GH-S152b	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
GH-S156a	FJ931042	badnavirus	Banana streak virus	78.08
GH-S156a	FJ560943	badnavirus	Sweet potato badnavirus A	88.26
GH-S156a	FJ560944	badnavirus	Sweet potato badnavirus B	89.12
GH-S156a	JQ902104	badnavirus	Sweet potato badnavirus C	85.3
GH-S156a	FJ807785	crinivirus	Sweet potato chlorotic stunt virus	98.85
GH-S156a	S43451	potyvirus	Sweet potato feathery mottle virus	97.19
GH-S156a	KF803170	begomovirus	Sweet potato golden vein associated virus	94.17
GH-S156a	JF736657	begomovirus	Sweet potato leaf curl virus	97.74
GH-S156a	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
GH-S156a	KF386015	potyvirus	Sweet potato virus C	95.19
GU-S001	KJ787689	NA	Cladosporium cladosporioides virus 1	75.54
GU-S001	FJ969832	begomovirus	Sweet potato leaf curl virus	96.55
GU-S006	KF836892	badnavirus	Sweet potato badnavirus B	96.71
GU-S006	JQ902104	badnavirus	Sweet potato badnavirus C	93.82
GU-S006	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
GU-S006	HQ694979	solendovirus	Sweet potato vein clearing virus	95.46
GU-S006	EF051631	pospiviroid	Tomato apical stunt viroid	100
GU-S021	KF545103	badnavirus	Banana streak virus	74.11
GU-S021	KF803546	mitovirus	Fusarium circinatum mitovirus 1	78.06
GU-S021	KF913890	mitovirus	Sclerotinia homoeocarpa mitovirus	72.79
GU-S021	FJ560943	badnavirus	Sweet potato badnavirus A	92.43
GU-S021	FJ560944	badnavirus	Sweet potato badnavirus B	91.28
GU-S021	JQ902104	badnavirus	Sweet potato badnavirus C	84.32
GU-S021	D86371	potyvirus	Sweet potato feathery mottle virus	97.03
GU-S021	HQ694979	solendovirus	Sweet potato vein clearing virus	95.18
GU-S025	JQ902103	badnavirus	Sweet potato badnavirus C	97.56
GU-S025	EF155974	potyvirus	Sweet potato feathery mottle virus	95.18
GU-S025	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
GU-S047	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
GU-S060	JQ902104	badnavirus	Sweet potato badnavirus C	95.74
GU-S060	D86371	potyvirus	Sweet potato feathery mottle virus	96.8
GU-S060	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	99.75
GU-S061	JX401537	mitovirus	Sclerotinia homoeocarpa mitovirus	63.33
GU-S061	JQ902104	badnavirus	Sweet potato badnavirus C	95.51
GU-S061	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
GU-S062	JQ902104	badnavirus	Sweet potato badnavirus C	95.86
GU-S062	D86371	potyvirus	Sweet potato feathery mottle virus	97.78
GU-S062	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
GU-S063	JQ902104	badnavirus	Sweet potato badnavirus C	95.45
GU-S063	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	99.85
GU-S066	AY615209	mitovirus	Gremmeniella abietina mitochondrial RNA virus S2	74.58
GU-S066	AY172454	mitovirus	Sclerotinia homoeocarpa mitovirus	77.97
GU-S066	FJ560943	badnavirus	Sweet potato badnavirus A	85.96
GU-S066	FJ560944	badnavirus	Sweet potato badnavirus B	91.78
GU-S066	JQ902104	badnavirus	Sweet potato badnavirus C	89.76
GU-S066	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
GU-S066	AY563138	mitovirus	Thielaviopsis basicola mitovirus	67.67
GU-S068	FJ560944	badnavirus	Sweet potato badnavirus B	94.07
GU-S068	JQ902104	badnavirus	Sweet potato badnavirus C	95.74
GU-S068	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
GU-S070	JQ902104	badnavirus	Sweet potato badnavirus C	94
GU-S070	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
GU-S072	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
GU-S073	KF836892	badnavirus	Sweet potato badnavirus B	97.28
GU-S073	JQ902104	badnavirus	Sweet potato badnavirus C	96.43
GU-S073	D86371	potyvirus	Sweet potato feathery mottle virus	97.95
GU-S073	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
GU-S074	FJ560943	badnavirus	Sweet potato badnavirus A	84.14
GU-S074	FJ560944	badnavirus	Sweet potato badnavirus B	92.84
GU-S074	JQ902104	badnavirus	Sweet potato badnavirus C	84.65
GU-S074	D86371	potyvirus	Sweet potato feathery mottle virus	98.13
GU-S074	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
GU-S075	EU377671	badnavirus	Pineapple bacilliform comosus virus	84.26
GU-S075	FJ560943	badnavirus	Sweet potato badnavirus A	85.44
GU-S075	FJ560944	badnavirus	Sweet potato badnavirus B	83.59
GU-S075	JQ902104	badnavirus	Sweet potato badnavirus C	97.16
GU-S075	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
GU-S076	AM905903	badnavirus	Banana streak virus	82.57
GU-S076	EU130910	badnavirus	Citrus yellow mosaic virus	79.08
GU-S076	AM072682	badnavirus	Dioscorea bacilliform virus 1	79.66
GU-S076	FJ560943	badnavirus	Sweet potato badnavirus A	83.9
GU-S076	KF836892	badnavirus	Sweet potato badnavirus B	86.03
GU-S076	JQ902104	badnavirus	Sweet potato badnavirus C	88.75
GU-S076	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
GU-S077	JQ902103	badnavirus	Sweet potato badnavirus C	97.56
GU-S077	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	98.92
GU-S090	FJ560943	badnavirus	Sweet potato badnavirus A	98.84
GU-S090	FJ560944	badnavirus	Sweet potato badnavirus B	98.1
GU-S090	JQ902103	badnavirus	Sweet potato badnavirus C	100
GU-S090	FJ969835	begomovirus	Sweet potato leaf curl virus	97
GU-S090	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
GU-S092	FJ560944	badnavirus	Sweet potato badnavirus B	81.08
GU-S094	KF803547	mitovirus	Fusarium circinatum mitovirus 2-1	96.84
GU-S094	FJ560943	badnavirus	Sweet potato badnavirus A	80.57
GU-S094	KF836892	badnavirus	Sweet potato badnavirus B	92.09
GU-S094	JQ902104	badnavirus	Sweet potato badnavirus C	90
GU-S095	JQ902104	badnavirus	Sweet potato badnavirus C	96.97
GU-S095	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
GU-S096	JQ902104	badnavirus	Sweet potato badnavirus C	94.82
GU-S096	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
GU-S097	JQ902104	badnavirus	Sweet potato badnavirus C	95.3
GU-S097	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	99.74
GU-S098	D86371	potyvirus	Sweet potato feathery mottle virus	98.27
